Domain,Indicator,Item,Element,CountryCode,CountryName,Region,Scenario,Units,Year,Value
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2030,65.256
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2035,77.521
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2040,89.82
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2050,112.747
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Business As Usual,1000 tonnes,2012,31.288
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Business As Usual,1000 tonnes,2030,60.567
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Business As Usual,1000 tonnes,2035,70.992
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Business As Usual,1000 tonnes,2040,82.742
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Business As Usual,1000 tonnes,2050,110.712
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2012,31.288
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2030,65.345
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2035,73.327
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2040,81.061
Market,"Commodity balances, volume",Beef and veal,Food use,BEN,Benin,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2050,96.494
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2012,111.435
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2030,272.032
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2035,325.458
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2040,380.171
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2050,490.082
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Business As Usual,1000 tonnes,2012,111.435
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Business As Usual,1000 tonnes,2030,256.594
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Business As Usual,1000 tonnes,2035,309.353
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Business As Usual,1000 tonnes,2040,369.357
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Business As Usual,1000 tonnes,2050,516.367
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2012,111.435
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2030,280.04
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2035,318.039
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2040,356.684
Market,"Commodity balances, volume",Beef and veal,Food use,BFA,Burkina Faso,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2050,437.335
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2012,17.198
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2030,26.763
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2035,29.478
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2040,32.242
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2050,37.211
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Business As Usual,1000 tonnes,2012,17.198
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Business As Usual,1000 tonnes,2030,26.815
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Business As Usual,1000 tonnes,2035,29.285
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Business As Usual,1000 tonnes,2040,31.575
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Business As Usual,1000 tonnes,2050,35.447
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2012,17.198
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2030,30.515
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2035,32.067
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2040,33.255
Market,"Commodity balances, volume",Beef and veal,Food use,BWA,Botswana,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2050,35.213
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2012,79.532
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2030,181.577
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2035,206.301
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2040,227.805
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2050,264.464
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Business As Usual,1000 tonnes,2012,79.532
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Business As Usual,1000 tonnes,2030,147.031
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Business As Usual,1000 tonnes,2035,168.274
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Business As Usual,1000 tonnes,2040,191.033
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Business As Usual,1000 tonnes,2050,243.939
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2012,79.532
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2030,162.24
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2035,171.612
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2040,177.01
Market,"Commodity balances, volume",Beef and veal,Food use,CAF,Central African Republic,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2050,179.039
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2012,37.07
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2030,93.881
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2035,104.93
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2040,118.136
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2050,154.365
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Business As Usual,1000 tonnes,2012,37.07
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Business As Usual,1000 tonnes,2030,93.233
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Business As Usual,1000 tonnes,2035,115.331
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Business As Usual,1000 tonnes,2040,140.384
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Business As Usual,1000 tonnes,2050,200.803
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2012,37.07
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2030,106.143
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2035,117.631
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2040,128.894
Market,"Commodity balances, volume",Beef and veal,Food use,CIV,C̫te d'Ivoire,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2050,152.745
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2012,89.381
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2030,187.24
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2035,221.774
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2040,258.811
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2050,340.054
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Business As Usual,1000 tonnes,2012,89.381
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Business As Usual,1000 tonnes,2030,185.26
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Business As Usual,1000 tonnes,2035,221.409
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Business As Usual,1000 tonnes,2040,262.325
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Business As Usual,1000 tonnes,2050,359.216
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2012,89.381
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2030,212.69
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2035,240.746
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2040,266.91
Market,"Commodity balances, volume",Beef and veal,Food use,CMR,Cameroon,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2050,318.767
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2012,14.659
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2030,32.926
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2035,38.999
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2040,46.018
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2050,62.572
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Business As Usual,1000 tonnes,2012,14.659
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Business As Usual,1000 tonnes,2030,32.374
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Business As Usual,1000 tonnes,2035,38.728
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Business As Usual,1000 tonnes,2040,45.966
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Business As Usual,1000 tonnes,2050,63.074
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2012,14.659
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2030,35.681
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2035,40.823
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2040,46.014
Market,"Commodity balances, volume",Beef and veal,Food use,COG,Republic of the Congo,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2050,56.942
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2012,363.848
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2030,848.498
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2035,947.213
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2040,1033.858
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2050,1175.51
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Business As Usual,1000 tonnes,2012,363.848
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Business As Usual,1000 tonnes,2030,773.101
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Business As Usual,1000 tonnes,2035,889.904
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Business As Usual,1000 tonnes,2040,1018.241
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Business As Usual,1000 tonnes,2050,1299.589
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2012,363.848
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2030,747.086
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2035,828.838
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2040,919.084
Market,"Commodity balances, volume",Beef and veal,Food use,ETH,Ethiopia,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2050,1085.083
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2012,11.972
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2030,19.611
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2035,22.434
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2040,25.622
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2050,32.492
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Business As Usual,1000 tonnes,2012,11.972
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Business As Usual,1000 tonnes,2030,18.907
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Business As Usual,1000 tonnes,2035,21.078
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Business As Usual,1000 tonnes,2040,23.392
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Business As Usual,1000 tonnes,2050,28.352
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2012,11.972
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2030,21.272
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2035,23.363
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2040,25.231
Market,"Commodity balances, volume",Beef and veal,Food use,GAB,Gabon,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2050,28.927
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2012,28.78
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2030,54.429
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2035,60.737
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2040,68.182
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2050,86.61
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Business As Usual,1000 tonnes,2012,28.78
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Business As Usual,1000 tonnes,2030,59.34
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Business As Usual,1000 tonnes,2035,67.802
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Business As Usual,1000 tonnes,2040,76.934
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Business As Usual,1000 tonnes,2050,97.392
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2012,28.78
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2030,66.8
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2035,73.033
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2040,78.731
Market,"Commodity balances, volume",Beef and veal,Food use,GHA,Ghana,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2050,89.603
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2012,70.819
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2030,171.372
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2035,191.38
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2040,216.294
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2050,280.201
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Business As Usual,1000 tonnes,2012,70.819
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Business As Usual,1000 tonnes,2030,165.763
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Business As Usual,1000 tonnes,2035,194.868
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Business As Usual,1000 tonnes,2040,227.019
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Business As Usual,1000 tonnes,2050,301.235
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2012,70.819
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2030,180.15
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2035,199.957
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2040,220.89
Market,"Commodity balances, volume",Beef and veal,Food use,GIN,Guinea,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2050,264.374
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2012,3.988
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2030,10.125
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2035,12.237
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2040,14.632
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2050,20.178
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Business As Usual,1000 tonnes,2012,3.988
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Business As Usual,1000 tonnes,2030,10.17
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Business As Usual,1000 tonnes,2035,12.485
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Business As Usual,1000 tonnes,2040,15.183
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Business As Usual,1000 tonnes,2050,21.858
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2012,3.988
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2030,11.823
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2035,13.826
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2040,15.748
Market,"Commodity balances, volume",Beef and veal,Food use,GMB,Gambia,Sub-Saharan Africa,Stratified Societies,1000 tonnes,2050,19.56
Market,"Commodity balances, volume",Beef and veal,Food use,KEN,Kenya,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2012,424.721
Market,"Commodity balances, volume",Beef and veal,Food use,KEN,Kenya,Sub-Saharan Africa,Toward Sustainability,1000 tonnes,2030,909.005
