Domain,Area,Item,Year,Unit,Value,Flag Description
Producer Prices - Annual,Antigua and Barbuda,"Meat, pig",2004,USD,4074.1,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, pig",2005,USD,4074.1,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, pig",2006,USD,4074.1,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, pig",2007,USD,4888.9,Official data
Producer Prices - Annual,Antigua and Barbuda,"Meat, pig",2008,USD,4888.9,Official data
Producer Prices - Annual,Argentina,"Meat, cattle",2004,USD,1391.6,Calculated data
Producer Prices - Annual,Argentina,"Meat, cattle",2005,USD,1620.1,Calculated data
Producer Prices - Annual,Argentina,"Meat, cattle",2006,USD,1496.4,Calculated data
Producer Prices - Annual,Argentina,"Meat, cattle",2007,USD,1558.7,Calculated data
Producer Prices - Annual,Argentina,"Meat, cattle",2008,USD,1741.1,Calculated data
Producer Prices - Annual,Argentina,"Meat, cattle",2009,USD,1576.3,Calculated data
Producer Prices - Annual,Argentina,"Meat, cattle",2010,USD,3141.2,Calculated data
Producer Prices - Annual,Argentina,"Meat, cattle",2011,USD,4010.2,Calculated data
Producer Prices - Annual,Argentina,"Meat, cattle",2012,USD,3772.6,Calculated data
Producer Prices - Annual,Argentina,"Meat, cattle",2013,USD,3482.4,Calculated data
Producer Prices - Annual,Argentina,"Meat, cattle",2014,USD,3570.6,Calculated data
Producer Prices - Annual,Argentina,"Meat, cattle",2015,USD,5920,Official data
Producer Prices - Annual,Argentina,"Meat, cattle",2016,USD,5230.3,Official data
Producer Prices - Annual,Argentina,"Meat, cattle",2017,USD,5365.1,Official data
Producer Prices - Annual,Argentina,"Meat, chicken",1991,USD,1327.2,Official data
Producer Prices - Annual,Argentina,"Meat, chicken",1992,USD,1261.8,Official data
Producer Prices - Annual,Argentina,"Meat, chicken",1993,USD,1311.4,Official data
Producer Prices - Annual,Argentina,"Meat, chicken",1994,USD,1281.3,Official data
Producer Prices - Annual,Argentina,"Meat, chicken",1995,USD,1180.3,Official data
Producer Prices - Annual,Argentina,"Meat, chicken",2004,USD,1048.2,Calculated data
Producer Prices - Annual,Argentina,"Meat, chicken",2005,USD,916.4,Calculated data
Producer Prices - Annual,Argentina,"Meat, chicken",2006,USD,739.2,Calculated data
Producer Prices - Annual,Argentina,"Meat, chicken",2007,USD,929.4,Calculated data
Producer Prices - Annual,Argentina,"Meat, chicken",2008,USD,981.3,Calculated data
Producer Prices - Annual,Argentina,"Meat, chicken",2009,USD,829.7,Calculated data
Producer Prices - Annual,Argentina,"Meat, chicken",2010,USD,1255.5,Calculated data
Producer Prices - Annual,Argentina,"Meat, chicken",2011,USD,1413.2,Calculated data
Producer Prices - Annual,Argentina,"Meat, chicken",2012,USD,1361.2,Calculated data
Producer Prices - Annual,Argentina,"Meat, chicken",2013,USD,1378.2,Calculated data
Producer Prices - Annual,Argentina,"Meat, chicken",2014,USD,1319.6,Calculated data
Producer Prices - Annual,Argentina,"Meat, chicken",2015,USD,1516.3,Official data
Producer Prices - Annual,Argentina,"Meat, chicken",2016,USD,1368.7,Official data
Producer Prices - Annual,Argentina,"Meat, chicken",2017,USD,1280,Official data
Producer Prices - Annual,Argentina,"Meat, chicken",2018,USD,1232.6,Official data
Producer Prices - Annual,Argentina,"Meat, pig",2004,USD,929.2,Calculated data
Producer Prices - Annual,Argentina,"Meat, pig",2005,USD,954.3,Calculated data
Producer Prices - Annual,Argentina,"Meat, pig",2006,USD,946,Calculated data
Producer Prices - Annual,Argentina,"Meat, pig",2007,USD,1071.2,Calculated data
Producer Prices - Annual,Argentina,"Meat, pig",2008,USD,1281.1,Calculated data
Producer Prices - Annual,Argentina,"Meat, pig",2009,USD,1069.5,Calculated data
Producer Prices - Annual,Argentina,"Meat, pig",2010,USD,1549,Calculated data
Producer Prices - Annual,Argentina,"Meat, pig",2011,USD,1752.4,Calculated data
Producer Prices - Annual,Argentina,"Meat, pig",2012,USD,1944.7,Calculated data
Producer Prices - Annual,Argentina,"Meat, pig",2013,USD,1752.9,Calculated data
Producer Prices - Annual,Argentina,"Meat, pig",2014,USD,1722.8,Calculated data
Producer Prices - Annual,Armenia,"Meat, cattle",1997,USD,1697.2,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",1998,USD,1725.6,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",1999,USD,1565.4,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2000,USD,1415.9,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2001,USD,1525.8,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2002,USD,1541.8,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2003,USD,1650.7,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2004,USD,2011.1,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2005,USD,2496.3,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2006,USD,2884.1,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2007,USD,3524.9,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2008,USD,4127.8,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2009,USD,3550.1,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2010,USD,4857.6,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2011,USD,5871.7,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2012,USD,5473.9,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2013,USD,5219.1,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2014,USD,4937.7,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2015,USD,4191.6,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2016,USD,4099.2,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2017,USD,4469.1,Official data
Producer Prices - Annual,Armenia,"Meat, cattle",2018,USD,5630.6,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",1997,USD,2340.3,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",1998,USD,2164.2,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",1999,USD,1954,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2000,USD,1816.5,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2001,USD,1843.3,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2002,USD,1802.1,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2003,USD,1765.8,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2004,USD,2035.4,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2005,USD,2342.7,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2006,USD,2734.9,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2007,USD,3456.7,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2008,USD,3986.9,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2009,USD,3944.8,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2010,USD,4568.6,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2011,USD,4469.6,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2012,USD,4258.9,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2013,USD,4192.6,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2014,USD,4022.8,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2015,USD,3780.6,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2016,USD,3820.8,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2017,USD,3741.2,Official data
Producer Prices - Annual,Armenia,"Meat, chicken",2018,USD,3872.3,Official data
Producer Prices - Annual,Armenia,"Meat, pig",1997,USD,2545.5,Official data
Producer Prices - Annual,Armenia,"Meat, pig",1998,USD,2395.6,Official data
Producer Prices - Annual,Armenia,"Meat, pig",1999,USD,1576.1,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2000,USD,1759.4,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2001,USD,1921,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2002,USD,1570.6,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2003,USD,1754.3,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2004,USD,2772.8,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2005,USD,3345,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2006,USD,3095.7,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2007,USD,3780.4,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2008,USD,7091,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2009,USD,5115.5,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2010,USD,5086.4,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2011,USD,6461,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2012,USD,6957.3,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2013,USD,5840.5,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2014,USD,6840,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2015,USD,6084.8,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2016,USD,4254.2,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2017,USD,5213,Official data
Producer Prices - Annual,Armenia,"Meat, pig",2018,USD,5640.7,Official data
Producer Prices - Annual,Australia,"Meat, cattle",1991,USD,1712.9,Official data
Producer Prices - Annual,Australia,"Meat, cattle",1992,USD,1559.1,Official data
Producer Prices - Annual,Australia,"Meat, cattle",1993,USD,1400.1,Official data
Producer Prices - Annual,Australia,"Meat, cattle",1994,USD,1719.6,Official data
Producer Prices - Annual,Australia,"Meat, cattle",1995,USD,1638.2,Official data
Producer Prices - Annual,Australia,"Meat, cattle",1996,USD,1432.1,Official data
Producer Prices - Annual,Australia,"Meat, cattle",1997,USD,1289.2,Official data
Producer Prices - Annual,Australia,"Meat, cattle",1998,USD,1217.5,Official data
Producer Prices - Annual,Australia,"Meat, cattle",1999,USD,1323.3,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2000,USD,1343.9,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2001,USD,1445.6,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2002,USD,1760.9,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2003,USD,1826.9,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2004,USD,2258.5,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2005,USD,2619.4,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2006,USD,2619,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2007,USD,2812.4,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2008,USD,2646.4,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2009,USD,2500.4,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2010,USD,2870.2,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2011,USD,3537,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2012,USD,3561.8,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2013,USD,3122.1,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2014,USD,2772.8,Official data
Producer Prices - Annual,Australia,"Meat, cattle",2015,USD,2235,Official data
Producer Prices - Annual,Australia,"Meat, chicken",1991,USD,1581.3,Official data
Producer Prices - Annual,Australia,"Meat, chicken",1992,USD,1374.8,Official data
Producer Prices - Annual,Australia,"Meat, chicken",1993,USD,1324,Official data
Producer Prices - Annual,Australia,"Meat, chicken",1994,USD,1466.6,Official data
Producer Prices - Annual,Australia,"Meat, chicken",1995,USD,1452.2,Official data
Producer Prices - Annual,Australia,"Meat, chicken",1996,USD,1454.8,Official data
Producer Prices - Annual,Australia,"Meat, chicken",1997,USD,1323.3,Official data
Producer Prices - Annual,Australia,"Meat, chicken",1998,USD,1127,Official data
Producer Prices - Annual,Australia,"Meat, chicken",1999,USD,1100.7,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2000,USD,929.9,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2001,USD,827.5,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2002,USD,897,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2003,USD,1120,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2004,USD,1356.9,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2005,USD,1309.7,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2006,USD,1189.8,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2007,USD,1333.8,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2008,USD,1709.5,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2009,USD,1746.2,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2010,USD,1952.9,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2011,USD,2107.4,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2012,USD,2084.3,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2013,USD,1877.7,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2014,USD,1737,Official data
Producer Prices - Annual,Australia,"Meat, chicken",2015,USD,1452.9,Official data
Producer Prices - Annual,Australia,"Meat, goat",1997,USD,749.6,Official data
Producer Prices - Annual,Australia,"Meat, goat",1998,USD,1032.8,Official data
Producer Prices - Annual,Australia,"Meat, goat",1999,USD,989.7,Official data
Producer Prices - Annual,Australia,"Meat, goat",2000,USD,883,Official data
Producer Prices - Annual,Australia,"Meat, goat",2001,USD,839.4,Official data
